CircleNum,LoopNum,IterNum,PulseRole,V_applied,PulseDur_s_col,U_out_immediate,I_immediate,R_immediate,T_immediate,R_before,G_before,R_after_1s,G_after_1s,I_after_1s,U_after_1s,T_after_1s,R_after_5s,G_after_5s,I_after_5s,U_after_5s,T_after_5s,R_after_10s,G_after_10s,I_after_10s,U_after_10s,T_after_10s,time_stamp
2,2,1,sweep_reset,0.1,0.001,0.0999896,1.1171e-05,8950.819,0,9514.275,0.0001051052234668,9515.688,0.0001050896162211,2.10096e-05,0.1999208,0,9522.532,0.0001050140865895,2.09945e-05,0.1999208,0,9518.588,0.0001050575988791,2.10032e-05,0.1999208,0,2026-06-22 10:54:15
2,2,2,fixed_set,1.5,0.001,0.917588,9.99571e-05,9179.818,0,9518.588,0.0001050575988791,9578.517,0.0001044002949517,2.08718e-05,0.1999209,0,9555.283,0.0001046541478677,2.09225e-05,0.1999204,0,9557.636,0.0001046283830018,2.09174e-05,0.1999209,0,2026-06-22 10:54:26
2,2,2,sweep_reset,0.2,0.001,0.1999704,2.2491e-05,8891.13,0,9557.636,0.0001046283830018,9581.414,0.0001043687288744,2.08655e-05,0.199921,0,9577.788,0.0001044082412348,2.08734e-05,0.199921,0,9567.022,0.0001045257343403,2.08969e-05,0.1999211,0,2026-06-22 10:54:37
2,2,3,fixed_set,1.5,0.001,0.923782,9.9957e-05,9241.794,0,9567.022,0.0001045257343403,8601.27,0.0001162619008588,2.32428e-05,0.1999176,0,8622.829,0.0001159712201181,2.31847e-05,0.1999177,0,8682.084,0.0001151797195235,2.30265e-05,0.199918,0,2026-06-22 10:54:48
2,2,3,sweep_reset,0.3,0.001,0.299938,3.83e-05,7831.279,0,8682.084,0.0001151797195235,8476.631,0.000117971396891,2.35845e-05,0.1999171,0,8481.53,0.0001179032556625,2.35709e-05,0.1999173,0,8492.511,0.0001177508042085,2.35404e-05,0.1999171,0,2026-06-22 10:54:59
2,2,4,fixed_set,1.5,0.001,0.879949,9.9958e-05,8803.187,0,8492.511,0.0001177508042085,9383.458,0.0001065705201643,2.13056e-05,0.1999202,0,9373.663,0.0001066818809253,2.13278e-05,0.1999196,0,9349.182,0.0001069612293353,2.13837e-05,0.1999201,0,2026-06-22 10:55:10
2,2,4,sweep_reset,0.4,0.001,0.399894,5.2638e-05,7597.059,0,9349.182,0.0001069612293353,8604.977,0.0001162118155574,2.32328e-05,0.1999177,0,8605.68,0.0001162023221872,2.32309e-05,0.1999177,0,8608.534,0.0001161637974595,2.32232e-05,0.1999177,0,2026-06-22 10:55:21
2,2,5,fixed_set,1.5,0.001,0.943601,9.99573e-05,9440.041,0,8608.534,0.0001161637974595,14038.04,7.12350157144445e-05,1.42421e-05,0.1999311,0,13186.73,7.58338117182956e-05,1.51614e-05,0.1999293,0,12935.58,7.73061586724368e-05,1.54557e-05,0.1999285,0,2026-06-22 10:55:32
2,2,5,sweep_reset,0.5,0.001,0.499843,5.2787e-05,9469.055,0,12935.58,7.73061586724368e-05,11295.57,8.85302822256867e-05,1.76994e-05,0.1999249,0,11276.66,8.86787399815193e-05,1.77291e-05,0.1999251,0,11252.1,8.88722993930022e-05,1.77678e-05,0.1999251,0,2026-06-22 10:55:43
2,2,6,fixed_set,1.5,0.001,0.98267,9.99555e-05,9831.075,0,11252.1,8.88722993930022e-05,11931.92,8.38088086410234e-05,1.67556e-05,0.1999265,0,11942.26,8.37362442284794e-05,1.67411e-05,0.1999265,0,11975.17,8.35061214162304e-05,1.66951e-05,0.1999266,0,2026-06-22 10:55:54
2,2,6,sweep_reset,0.6,0.001,0.599768,7.3441e-05,8166.664,0,11975.17,8.35061214162304e-05,9115.291,0.000109705768033,2.19323e-05,0.1999193,0,9099.627,0.0001098946143616,2.197e-05,0.1999188,0,9099.194,0.0001098998438762,2.19711e-05,0.1999193,0,2026-06-22 10:56:05
2,2,7,fixed_set,1.5,0.001,0.957654,9.9957e-05,9580.66,0,9099.194,0.0001098998438762,9641.401,0.0001037193660962,2.07357e-05,0.1999212,0,9639.207,0.0001037429738774,2.07404e-05,0.199921,0,9661.249,0.0001035062857814,2.06931e-05,0.1999212,0,2026-06-22 10:56:16
